invocation,candidate,exit,duration_us
351,6,w0,8921
351,7,z,7472
351,8,accept,10541
352,1,accept,10604
353,1,accept,10604
354,1,w0,8986
354,2,accept,10540
355,1,z,7508
355,2,accept,10548
356,1,w0,8977
356,2,z,7464
356,3,w0,8934
356,4,w0,8925
356,5,accept,10540
357,1,z,7505
357,2,w0,8920
357,3,z,7479
357,4,accept,10540
358,1,w0,8990
358,2,w0,8907
358,3,z,7448
358,4,accept,10540
359,1,z,7530
359,2,z,7467
359,3,accept,10548
360,1,w0,8985
360,2,w0,8904
360,3,z,7471
360,4,z,7462
360,5,accept,10540
361,1,accept,10607
362,1,z,7519
362,2,z,7466
362,3,z,7456
362,4,w0,8937
362,5,z,7453
362,6,z,7473
362,7,z,7466
362,8,z,7451
362,9,z,7451
362,10,w0,8910
362,11,accept,10539
363,1,w0,8997
363,2,accept,10540
364,1,z,7529
364,2,z,7488
364,3,w0,8940
364,4,w0,8929
364,5,w0,8937
364,6,accept,10540
365,1,accept,10613
366,1,z,7514
366,2,z,7448
366,3,z,7455
366,4,z,7463
366,5,w0,8928
366,6,z,7468
366,7,z,7481
366,8,w0,8928
366,9,z,7480
366,10,accept,10540
367,1,accept,10603
368,1,w0,8979
368,2,z,7458
368,3,z,7450
